,nose_x, nose_y, leftEye_x, leftEye_y, rightEye_x, rightEye_y, leftEar_x, leftEar_y, rightEar_x, rightEar_y, leftShoulder_x, leftShoulder_y, rightShoulder_x, rightShoulder_y, leftElbow_x, leftElbow_y, rightElbow_x, rightElbow_y, leftWrist_x, leftWrist_y, rightWrist_x, rightWrist_y, leftHip_x, leftHip_y, rightHip_x, rightHip_y, leftKnee_x, leftKnee_y, rightKnee_x, rightKnee_y, leftAnkle_x, leftAnkle_y, rightAnkle_x, rightAnkle_y, estado
0,184.54647138424883,58.15757202267183,190.39594301453826,51.80126850707058,179.2603964007782,51.80387682487992,202.3215327281432,56.13738479317394,165.60550199872324,58.497374716435885,208.70012216530887,110.5985463361332,161.84327240583963,112.93580615566862,215.8978235860743,175.70634686065554,159.30599702471426,170.2100301067189,221.733268411243,207.53371539282892,156.23540915403848,178.42245732763863,199.74190975441542,244.5334883515473,169.70979861248327,246.02521903783895,196.31667081484073,351.64492417866154,168.93495789761673,337.93921266548364,193.52958471394697,433.8645252272313,184.76935063818547,432.6962660258846,levantado
1,183.6905156591987,58.427180575953386,189.92215761414764,51.999888067579455,178.9274134060752,51.702556535891524,202.1421232112187,56.77140974349085,165.02591441113663,58.891861911877584,208.70068323751366,111.11532055450321,161.24156254274837,113.1824374662763,215.7224484454797,177.8294440837222,159.67587719631567,171.5926188903096,221.75504335633514,208.55879431104844,157.57797478701818,177.172174713491,200.20490119429417,246.6538603667619,169.42317086898862,247.5351979296495,196.18030355134363,350.6694333562591,170.42246718351015,337.8220287278468,194.03454969829158,434.1639774782648,183.3649601917786,433.013913046989,levantado
2,184.19721729560587,58.24250766739307,190.1011396474875,51.86819640578927,178.64679715048942,51.68009026968989,201.80069741571924,56.61535151737673,165.05062830587306,58.71983316621892,208.67909531648985,110.58575522574932,161.27287571532253,113.08750939276432,216.70304235317366,175.25520473138832,158.664290728736,170.5109384737126,221.3840677580481,207.4938926251482,156.6865379244437,177.3009675022229,199.83055916277817,246.6278105858235,169.95696427757173,247.4831785209448,196.90924321631047,352.0190524683852,170.72493853736017,338.58580830496106,195.31269889861227,433.5554278778195,184.29155757918898,432.25764115032985,levantado
3,185.87971253153881,56.69523083282352,191.6289659789564,51.36992755103204,180.34874288952304,51.67734836326035,203.20260311379042,56.44487239971235,167.65365600585938,56.98297404129681,209.06407100217353,110.03245787861746,165.54987569727322,110.52039031388695,214.81979013880868,176.59320163355727,162.6727241486427,167.5325000332487,214.3012792683761,225.49091146149988,152.43248846744285,170.14999538080238,202.55651511106976,248.15427431336636,169.56162211496078,246.38914115697958,197.07264881653543,351.5900459734846,172.27039856669504,343.03441622841683,194.01488545339856,438.5375353148939,179.79691501721334,433.2906819503131,levantado
4,186.88539438210574,57.19058411594495,192.57942229393393,51.83762465005719,181.8689012341926,52.234312718016625,204.1881665181557,56.104188021054995,168.65813555884455,57.800710062108614,210.57618731190723,109.28179670400657,166.86799461275686,111.5829742372268,217.33798906496992,170.56275749948702,163.28696462430844,168.23963803539945,220.12371256193762,205.91630453265594,157.78947229051406,173.593469167034,202.28586456655063,250.5015065233995,171.03181831567667,250.1683097869042,198.50519974407985,351.16098604313595,168.71814356703703,347.08487662823745,195.3176951130077,438.75044885776384,182.79456350126156,436.2425362553578,levantado
5,189.10173646206988,55.10208300579383,195.0087313522161,49.85871296448467,181.45253222276267,50.184645819756774,205.72315319966714,55.13314903942064,169.44812522324142,57.13803703219046,212.138532942835,109.14019276659776,170.41963510476197,113.65552820584189,218.88831172007997,177.10683651935267,166.43465984656189,170.2176847346562,219.43081510669992,216.5681267526827,160.94459504005047,190.79742580072426,204.15380752504103,247.23967318404974,172.24341366541526,247.00225948823564,196.56065707076846,353.86308306386036,170.01438066653242,351.7784326456864,195.5135894656645,439.9884146011293,182.68806665324053,437.4840020205724,levantado
6,189.04755291771795,58.19174399171822,194.8679823819765,52.80098896546123,181.61470880768178,52.72352760404001,199.54179400136036,59.32188368029168,171.0100700883086,58.60184769686094,214.3286115000684,109.60636361563716,167.0690187684293,111.78879422436428,218.49724439331527,174.98234997463598,161.44953330667101,173.47414781147404,222.685407942835,210.51674928182757,163.3161670966835,179.80417778519805,205.58929740222976,249.58597027374148,170.2964931146644,249.11819636125972,196.26831173432942,356.11439864459203,165.2035071228265,353.85055245128586,188.73442119197625,435.8962745518072,179.19443034012494,433.2588077055341,levantado
7,193.52929081898253,57.713429937102916,197.33579168059947,52.99855317587055,187.28423656656582,52.800755185375884,204.44922539974465,59.48781410543835,174.92381589421967,57.39476764248503,215.7180667387372,111.10484720667976,169.99458283301922,114.75600454130061,221.58038959428956,180.70260133260882,165.56905902313352,181.31060321971137,218.61624513618676,232.95178246405337,168.31948840664518,211.42354883572472,207.75391396845362,249.0612074558837,170.10981637680112,248.40296288872509,200.17588574598733,355.1537895944796,167.47902896153786,352.16012205131324,195.2583817656402,438.93605688666554,183.20051260031613,435.2187665056162,levantado
8,190.19296846501095,60.171253486366126,196.82919691508846,54.46873267800891,183.78953154448868,53.1810853267922,203.5729107689765,59.34365194595278,174.57408088654395,57.30986539491884,214.0207966014105,109.6725167003587,167.77607661740788,111.23457511575306,218.55674476475104,176.2217851928236,161.27188715953307,174.16989070432194,224.1642339684156,216.43723662261368,161.38696039697075,172.22643009883421,204.70550180873056,251.71152552741975,168.15196827691815,250.84413461648072,200.257695416996,353.80970105122964,164.88000892015748,351.3271168512129,191.14612327011645,436.901849531478,179.18256767065145,433.99886194370134,levantado
9,186.76516462392846,59.32814230714791,192.36955457160445,52.86317780787843,179.81115556412632,51.374950483151444,203.7249079010366,57.156519017794714,166.47340054641901,57.5886381275459,209.84519038218934,110.84290664019751,163.2520178412649,115.03074289759773,216.9070054584904,179.0555872342002,160.29353754065843,178.79203024541357,218.29883857459873,219.3705889037611,156.889512473971,195.19346660213247,201.1891821479055,249.90588830138924,167.99681845342138,247.64474059821103,195.69243791038423,353.9541103496626,169.3987241514926,341.44265438332167,193.44611854404792,437.42720013926464,190.0847082472033,438.0802347502356,levantado
10,197.10548489937986,56.20393196432507,199.4062549873085,50.93939480614569,190.09307089482763,51.26175416582753,205.6352518875775,58.08628245550371,179.338251848629,56.31378856614406,216.52884279243676,110.03673939389478,172.35998309539914,113.43415850331347,222.0408161326605,176.95665619252722,167.71425180398072,172.45975598287026,218.70267697345423,229.5018830651903,173.14083529817455,183.9804519475202,208.25268044082105,254.11820467344054,175.5659229560585,253.7750155081545,200.69257981118523,353.7302692576605,169.3926325104116,353.99127470380137,195.34299679767298,439.3807199678532,183.95462036132812,436.2240475903225,levantado
11,198.79302978515625,56.40814220858919,203.58696429182118,51.24974120915632,191.48412919693885,51.26764876369372,210.38210976448505,59.41932321986336,182.72466993517446,56.997682148380505,218.49358406512192,115.23628234863281,174.69639462719633,116.56114748943641,223.30948054094722,186.24447180603264,166.72631052217594,180.8237127756794,218.4637403673699,233.32617793101744,170.63930823181389,215.56339338131914,208.823638203543,250.7808403282314,173.86197338772192,251.0257884222246,199.857570781782,354.65235134970817,167.15905749844205,351.6667525592017,195.72083885103814,439.8934598098933,191.83164663351926,440.45861982649865,levantado
